PaperID,TrialID,System,Category,Analyte,Value,SD,Unit,Significance,Location,Notes
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,water-quality,P-PO4,5.2,0.8,mg P/L,significant (letters a vs b),Table 1 p.6,Plant tank compartment.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,mineral,Ca2+,28,0.13,mg/L,significant (letters a vs b),Table 1 p.6,"Fish tank compartment (water,  not leaf tissue)."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,mineral,Ca2+,84,0.07,mg/L,significant (letters d vs f),Table 1 p.6,"⚠️MATERIAL: Results text (p.5-6) attributes 'reaching...68 mg/L for calcium' to the biochar biofilter, but 68 is actually the CLAY biofilter value (see T2 biofilter row). This trial's (biochar) true biofilter calcium value is 84+/-0.07 per Table 1, taken as authoritative here."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,mineral,Ca2+,55,0.08,mg/L,significant (letters e vs c),Table 1 p.6,"Plant tank compartment (water,  not leaf tissue)."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,mineral,Ca2+,22,0.18,mg/L,significant (letters a vs b),Table 1 p.6,"Fish tank compartment (water,  not leaf tissue)."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,mineral,Ca2+,68,0.11,mg/L,significant (letters d vs f),Table 1 p.6,⚠️MATERIAL: Results text (p.5-6) mislabels this clay biofilter value (68 mg/L calcium) as belonging to 'biochar' - see T1 biofilter row for the correction. This (clay) value itself is correctly Table 1's own clay-biofilter figure.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,mineral,Ca2+,44,0.15,mg/L,significant (letters e vs c),Table 1 p.6,"Plant tank compartment (water,  not leaf tissue)."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,mineral,Mg2+,18,0.15,mg/L,significant (letters a vs b),Table 1 p.6,"Fish tank compartment (water,  not leaf tissue)."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,mineral,Mg2+,54,0.08,mg/L,significant (letters d vs e),Table 1 p.6,"⚠️MATERIAL: Results text (p.5-6) attributes 'reaching...43 mg/L for magnesium' to the biochar biofilter, but 43 is actually the CLAY biofilter value (see T2 biofilter row). This trial's (biochar) true biofilter magnesium value is 54+/-0.08 per Table 1, taken as authoritative here."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,mineral,Mg2+,40,0.13,mg/L,significant (letters c vs d),Table 1 p.6,"Plant tank compartment (water,  not leaf tissue)."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,mineral,Mg2+,17,0.09,mg/L,significant (letters a vs b),Table 1 p.6,"Fish tank compartment (water,  not leaf tissue)."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,mineral,Mg2+,43,0.17,mg/L,significant (letters d vs e),Table 1 p.6,⚠️MATERIAL: Results text (p.5-6) mislabels this clay biofilter value (43 mg/L magnesium) as belonging to 'biochar' - see T1 biofilter row for the correction. This (clay) value itself is correctly Table 1's own clay-biofilter figure.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,mineral,Mg2+,32,0.03,mg/L,significant (letters c vs d),Table 1 p.6,"Plant tank compartment (water, not leaf tissue). Table prints SD as '00.03', taken as 0.03 (typo)."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,mineral,Fe2+,0.6,0.17,mg/L,ns (letters b vs b),Table 1 p.6,"Fish tank compartment (water,  not leaf tissue)."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,mineral,Fe2+,0.8,0.11,mg/L,significant (letters c vs b),Table 1 p.6,"Biofilter compartment. Table prints superscript as 'c8' (likely OCR artifact), taken as 'c'."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,mineral,Fe2+,0.6,0.13,mg/L,significant (letters b vs a),Table 1 p.6,"Plant tank compartment (water,  not leaf tissue)."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,mineral,Fe2+,0.6,0.04,mg/L,ns (letters b vs b),Table 1 p.6,"Fish tank compartment (water,  not leaf tissue)."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,mineral,Fe2+,0.6,0.03,mg/L,significant (letters b vs c),Table 1 p.6,"Biofilter compartment (water,  not leaf tissue)."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,mineral,Fe2+,0.4,0.11,mg/L,significant (letters a vs b),Table 1 p.6,"Plant tank compartment (water,  not leaf tissue)."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,mineral,Cu2+,0.25,0.08,mg/L,significant (letters e vs d),Table 1 p.6,"Fish tank compartment (water,  not leaf tissue)."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,mineral,Cu2+,0.27,0.04,mg/L,significant (letters e vs c),Table 1 p.6,"Biofilter compartment (water,  not leaf tissue)."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,mineral,Cu2+,0.16,0.07,mg/L,significant (letters b vs a),Table 1 p.6,"Plant tank compartment (water,  not leaf tissue)."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,mineral,Cu2+,0.2,0.02,mg/L,significant (letters d vs e),Table 1 p.6,"Fish tank compartment (water,  not leaf tissue)."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,mineral,Cu2+,0.19,0.05,mg/L,significant (letters c vs e),Table 1 p.6,"Biofilter compartment (water,  not leaf tissue)."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,mineral,Cu2+,0.12,0.02,mg/L,significant (letters a vs b),Table 1 p.6,"Plant tank compartment (water,  not leaf tissue)."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,mineral,Zn2+,0.4,0.02,mg/L,UNCLEAR - no superscript letter printed for this cell,Table 1 p.6,"Fish tank compartment. Table 1 prints this cell as '0.4±0.02' with no superscript letter (unlike the corresponding clay cell 'b'), so a same-compartment significance comparison cannot be made; NOT a value conflict (the number itself is unambiguous), just an absent significance marker - not elevated to a severity flag since no cell VALUE is in dispute."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,mineral,Zn2+,0.39,0.01,mg/L,ns (letters b vs b),Table 1 p.6,"Biofilter compartment (water,  not leaf tissue)."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,mineral,Zn2+,0.3,0.02,mg/L,ns (letters a vs a),Table 1 p.6,"Plant tank compartment (water,  not leaf tissue)."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,mineral,Zn2+,0.4,0.01,mg/L,UNCLEAR - see T1 fish tank note,Table 1 p.6,"Fish tank compartment (water,  not leaf tissue)."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,mineral,Zn2+,0.39,0.02,mg/L,ns (letters b vs b),Table 1 p.6,"Biofilter compartment (water,  not leaf tissue)."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,mineral,Zn2+,0.3,0.07,mg/L,ns (letters a vs a),Table 1 p.6,"Plant tank compartment (water,  not leaf tissue)."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,microbiology,Nitrosomonas sp.,11,0.17,CFU/mL,significant (letters c vs b),Table 2 p.6,Fish tank compartment.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,microbiology,Nitrosomonas sp.,35,0.19,CFU/mL,significant (letters e vs d),Table 2 p.6,"Biofilter compartment. Text (p.6): ""Nitrosomonas and Nitrobacter counts approximately 20-40% greater [in biochar] than clay"" - directionally consistent with this row."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,microbiology,Nitrosomonas sp.,8,0.14,CFU/mL,significant (letters c vs a),Table 2 p.6,"Plant tank compartment. Table prints value as '08', taken as 8."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,microbiology,Nitrosomonas sp.,3,0.08,CFU/mL,significant (letters b vs c),Table 2 p.6,"Fish tank compartment. Table prints value as '03', taken as 3."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,microbiology,Nitrosomonas sp.,11,0.11,CFU/mL,significant (letters d vs e),Table 2 p.6,Biofilter compartment.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,microbiology,Nitrosomonas sp.,2,0.05,CFU/mL,significant (letters a vs c),Table 2 p.6,"Plant tank compartment. Table prints value as '02', taken as 2."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,microbiology,Nitrobacter sp.,67,0.25,CFU/mL,significant (letters d vs b),Table 2 p.6,Fish tank compartment.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,microbiology,Nitrobacter sp.,110,0.25,CFU/mL,significant (letters e vs d),Table 2 p.6,Biofilter compartment.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,microbiology,Nitrobacter sp.,46,0.05,CFU/mL,significant (letters d vs a),Table 2 p.6,Plant tank compartment.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,microbiology,Nitrobacter sp.,32,0.02,CFU/mL,significant (letters b vs d),Table 2 p.6,Fish tank compartment.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,microbiology,Nitrobacter sp.,62,0.15,CFU/mL,significant (letters d vs e),Table 2 p.6,Biofilter compartment.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,microbiology,Nitrobacter sp.,21,0.08,CFU/mL,significant (letters a vs d),Table 2 p.6,Plant tank compartment.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,microbiology,Staphylococcus spp.,ND,NR,CFU/100mL,NR,Table 2 p.6,Not detected ('-') in any compartment of either system.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,microbiology,Staphylococcus spp.,ND,NR,CFU/100mL,NR,Table 2 p.6,Not detected ('-') in any compartment of either system.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,microbiology,Staphylococcus spp.,ND,NR,CFU/100mL,NR,Table 2 p.6,Not detected ('-') in any compartment of either system.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,microbiology,Staphylococcus spp.,ND,NR,CFU/100mL,NR,Table 2 p.6,Not detected ('-') in any compartment of either system.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,microbiology,Staphylococcus spp.,ND,NR,CFU/100mL,NR,Table 2 p.6,Not detected ('-') in any compartment of either system.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,microbiology,Staphylococcus spp.,ND,NR,CFU/100mL,NR,Table 2 p.6,Not detected ('-') in any compartment of either system.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,microbiology,Pseudomonas aeruginosa,10,0.12,CFU/100mL,significant (letters a vs c),Table 2 p.6,Fish tank compartment.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,microbiology,Pseudomonas aeruginosa,10,0.09,CFU/100mL,significant (letters a vs b),Table 2 p.6,Biofilter compartment.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T1,AP,microbiology,Pseudomonas aeruginosa,ND,NR,CFU/100mL,NR,Table 2 p.6,"Plant tank compartment: not detected ('-') for biochar, vs 15+/-0.07 (detected) for clay plant tank - not a numeric conflict, simply ND vs detected."
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,microbiology,Pseudomonas aeruginosa,20,0.18,CFU/100mL,significant (letters c vs a),Table 2 p.6,Fish tank compartment.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,microbiology,Pseudomonas aeruginosa,15,0.03,CFU/100mL,significant (letters b vs a),Table 2 p.6,Biofilter compartment.
ahmedImpactBiofilmSupport2026,ahmedImpactBiofilmSupport2026-T2,AP,microbiology,Pseudomonas aeruginosa,15,0.07,CFU/100mL,"NR (biochar plant tank is ND,  not comparable)",Table 2 p.6,Plant tank compartment (clay); detected here vs not detected in biochar plant tank.
